# Evaluation: 0

EP=0.39111713136045606 HVMinus=-0.5851282907409413 | --algorithmResult externalArchive --populationSizeWithArchive 147 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.18365635174266315 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6361432393033557 --mutation powerLaw --mutationProbabilityFactor 1.8253964645246827 --mutationRepairStrategy bounds --powerLawMutationDelta 9.917757786515615 --selection ranking 
EP=0.3932586287885452 HVMinus=-0.5857689675740494 | --algorithmResult externalArchive --populationSizeWithArchive 129 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.19229267367936506 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7585874147003827 --mutation powerLaw --mutationProbabilityFactor 1.8269595285095657 --mutationRepairStrategy bounds --powerLawMutationDelta 9.90001847602925 --selection ranking 
EP=0.3922516263319487 HVMinus=-0.5857447727318548 | --algorithmResult externalArchive --populationSizeWithArchive 69 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.1814438529381711 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7826739219693297 --mutation powerLaw --mutationProbabilityFactor 1.6887645661815103 --mutationRepairStrategy bounds --powerLawMutationDelta 9.936892541184044 --selection tournament --selectionTournamentSize 9 
EP=0.391887541158519 HVMinus=-0.5856687452783645 | --algorithmResult externalArchive --populationSizeWithArchive 129 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover laplace --crossoverProbability 0.23104698323406367 --crossoverRepairStrategy bounds --laplaceCrossoverScale 0.49485521151105183 --mutation powerLaw --mutationProbabilityFactor 1.6772488446695346 --mutationRepairStrategy bounds --powerLawMutationDelta 9.982389513601845 --selection ranking 
EP=0.39117939762777815 HVMinus=-0.5853471752028598 | --algorithmResult externalArchive --populationSizeWithArchive 128 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.18347826189830505 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.6359315687981228 --mutation powerLaw --mutationProbabilityFactor 1.8254014448956635 --mutationRepairStrategy bounds --powerLawMutationDelta 9.900447415735457 --selection ranking 

# Evaluation: 900
EP=0.3914334110663445 HVMinus=-0.5855781898188916 | --algorithmResult externalArchive --populationSizeWithArchive 63 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.7889023755982784 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7587852197561495 --mutation powerLaw --mutationProbabilityFactor 1.6756929129481477 --mutationRepairStrategy bounds --powerLawMutationDelta 9.917169569661953 --selection tournament --selectionTournamentSize 9 
EP=0.39176834512370684 HVMinus=-0.585617321623524 | --algorithmResult externalArchive --populationSizeWithArchive 122 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.1814438529381711 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7586357376810829 --mutation powerLaw --mutationProbabilityFactor 1.821903829700659 --mutationRepairStrategy bounds --powerLawMutationDelta 9.936892541184044 --selection ranking 
EP=0.3932586287885452 HVMinus=-0.5857689675740494 | --algorithmResult externalArchive --populationSizeWithArchive 129 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.19229267367936506 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7585874147003827 --mutation powerLaw --mutationProbabilityFactor 1.8269595285095657 --mutationRepairStrategy bounds --powerLawMutationDelta 9.90001847602925 --selection ranking 
EP=0.3922516263319487 HVMinus=-0.5857447727318548 | --algorithmResult externalArchive --populationSizeWithArchive 69 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 200 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.1814438529381711 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.7826739219693297 --mutation powerLaw --mutationProbabilityFactor 1.6887645661815103 --mutationRepairStrategy bounds --powerLawMutationDelta 9.936892541184044 --selection tournament --selectionTournamentSize 9 
